City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Colquechaca,BO,-18.6667,-66.0167,49.03,25,56,7.02,broken clouds
271,Troyes,FR,48.3333,4.0833,66.22,94,0,3.44,clear sky
272,Predivinsk,RU,57.0669,93.4378,36.48,87,100,3.29,overcast clouds
273,Billings,US,45.7833,-108.5007,91.36,19,11,3.0,few clouds
274,Auburn,US,47.3073,-122.2284,82.58,50,2,1.99,clear sky
275,Itoman,JP,26.1247,127.6694,80.62,89,40,1.14,scattered clouds
276,Mecca,SA,21.4267,39.8261,89.02,45,34,3.76,scattered clouds
277,Coleraine,GB,55.1333,-6.6667,63.32,95,94,9.33,overcast clouds
278,Manggar,ID,-2.8833,108.2667,79.92,81,95,2.66,overcast clouds
279,Neijiang,CN,29.5835,105.0622,73.94,93,39,1.48,scattered clouds
280,Santa Cruz,BO,-17.8,-63.1667,92.66,31,0,11.5,clear sky
281,Japura,ID,-0.3167,102.35,73.9,98,98,2.06,overcast clouds
282,Thanh Hoa,VN,19.8,105.7667,72.88,98,98,5.01,light rain
283,East London,ZA,-33.0153,27.9116,67.33,65,48,16.96,scattered clouds
284,Iranshahr,IR,27.2025,60.6848,91.74,33,0,0.0,clear sky
285,Veraval,IN,20.9,70.3667,79.27,81,91,7.4,overcast clouds
286,Henties Bay,NA,-22.116,14.2845,54.86,93,1,4.12,clear sky
287,Kumluca,TR,36.3703,30.2869,74.8,45,0,4.05,clear sky
288,Codrington,AU,-38.2667,141.9667,43.61,75,85,4.0,overcast clouds
289,Samfya,ZM,-11.3649,29.5565,73.62,35,88,7.07,overcast clouds
290,Ferrol,ES,43.4832,-8.2369,65.68,79,70,9.48,broken clouds
291,Tongliao,CN,43.6125,122.2653,60.35,96,79,5.01,broken clouds
292,Tanda,IN,26.55,82.65,78.76,84,99,6.13,overcast clouds
293,Kaitangata,NZ,-46.2817,169.8464,44.87,62,6,10.18,clear sky
294,Severnoye,RU,56.3491,78.3619,31.48,96,96,9.19,overcast clouds
295,Tias,ES,28.9611,-13.645,71.35,73,20,12.66,few clouds
296,Saint John,CA,45.2727,-66.0677,72.63,93,75,11.5,broken clouds
297,Lorengau,PG,-2.0226,147.2712,81.75,77,80,6.6,broken clouds
298,Harnoli,PK,32.2792,71.5539,89.28,41,0,2.62,clear sky
299,Saint George,US,37.1041,-113.5841,94.53,15,5,5.01,clear sky
300,Sorland,NO,67.667,12.6934,48.9,73,100,13.65,overcast clouds
301,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,92,100,10.63,overcast clouds
302,Lixourion,GR,38.2019,20.4314,70.23,68,0,6.26,clear sky
303,Rio Gallegos,AR,-51.6226,-69.2181,50.05,27,75,17.27,broken clouds
304,Nishihara,JP,26.1842,127.7558,79.88,89,40,1.14,scattered clouds
305,Nizhniy Baskunchak,RU,48.2198,46.8311,54.59,85,98,12.08,overcast clouds
306,Esil,KZ,51.9556,66.4042,50.23,36,100,12.44,overcast clouds
307,Nyaunglebin,MM,17.95,96.7333,74.41,99,100,4.0,overcast clouds
308,Miraflores,MX,19.2167,-98.8083,75.02,72,86,1.97,overcast clouds
309,Whitehorse,CA,60.7161,-135.0538,44.1,57,40,8.01,light rain
310,Joshimath,IN,30.5667,79.5667,63.54,81,4,3.33,clear sky
311,Dunedin,NZ,-45.8742,170.5036,44.8,66,37,13.89,scattered clouds
312,Torbay,CA,47.6666,-52.7314,54.28,78,90,13.8,overcast clouds
313,Salamanca,ES,40.8333,-6.0,56.98,91,26,6.26,scattered clouds
314,Saiha,IN,22.4833,92.9667,67.53,97,3,3.09,clear sky
315,Matata,NZ,-37.8833,176.75,60.13,80,100,2.06,overcast clouds
316,Andros Town,BS,24.7,-77.7667,84.16,83,100,12.1,overcast clouds
317,Sayan,PE,-11.1361,-77.1933,76.87,49,88,8.43,overcast clouds
318,Kapuskasing,CA,49.4169,-82.4331,53.69,76,90,5.75,overcast clouds
319,Michigan City,US,41.7075,-86.895,71.02,42,1,5.75,clear sky
320,Griffin,US,33.2468,-84.2641,79.14,48,1,4.61,clear sky
321,Makakilo City,US,21.3469,-158.0858,82.56,68,9,16.31,clear sky
322,Rawson,AR,-43.3002,-65.1023,73.49,23,100,24.23,overcast clouds
323,Bazarnyye Mataki,RU,54.8833,49.9333,45.25,90,100,4.5,overcast clouds
324,Wagar,SD,16.1525,36.2032,89.24,47,100,17.98,overcast clouds
325,Roald,NO,62.5833,6.1333,57.16,71,75,11.5,broken clouds
326,Jacksonville,US,30.3322,-81.6556,87.03,58,75,1.01,haze
327,Lashio,MM,22.9333,97.75,68.07,93,99,1.86,overcast clouds
328,Katsuura,JP,35.1333,140.3,70.2,70,100,13.47,overcast clouds
329,Sinegorye,RU,62.0788,150.477,34.38,99,97,4.65,light rain
330,North Ogden,US,41.3072,-111.9602,86.0,20,0,5.01,clear sky
331,Sorsk,RU,54.0033,90.2467,31.03,84,100,5.17,overcast clouds
332,Guarapari,BR,-20.6667,-40.4975,77.92,70,6,17.6,clear sky
333,Kiunga,PG,-6.1219,141.2906,73.31,99,99,1.14,overcast clouds
334,Parlakimidi,IN,18.7667,84.0833,77.31,96,100,2.46,overcast clouds
335,Namatanai,PG,-3.6667,152.4333,80.62,79,48,7.63,scattered clouds
336,Tigre,AR,-34.426,-58.5796,70.29,69,0,12.66,clear sky
337,Lovozero,RU,68.005,35.0117,43.83,90,81,4.85,broken clouds
338,Northam,GB,51.0333,-4.2167,62.56,90,95,7.25,overcast clouds
339,Fukue,JP,32.6881,128.8419,75.13,80,40,11.99,scattered clouds
