City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,San Angelo,US,2021-09-20 02:57:39,31.4638,-100.437,83.43,46,0,3.0
185,Kaseda,JP,2021-09-20 02:58:48,31.4167,130.3167,85.23,68,6,3.27
186,Vila Franca Do Campo,PT,2021-09-20 02:58:48,37.7167,-25.4333,68.41,78,30,8.08
187,Hay River,CA,2021-09-20 02:58:49,60.8156,-115.7999,46.38,87,75,3.44
188,Grand Forks,US,2021-09-20 02:56:20,47.9417,-97.4337,68.79,43,57,5.7
189,Bambous Virieux,MU,2021-09-20 02:58:49,-20.3428,57.7575,66.45,72,20,5.75
190,Caldwell,US,2021-09-20 02:56:08,43.6629,-116.6874,59.61,56,1,1.01
191,San Quintin,MX,2021-09-20 02:58:50,30.4833,-115.95,67.42,79,0,10.29
192,Pangnirtung,CA,2021-09-20 02:58:50,66.1451,-65.7125,30.88,81,16,8.72
193,Cap Malheureux,MU,2021-09-20 02:58:51,-19.9842,57.6142,66.69,64,32,4.0
194,Zhangye,CN,2021-09-20 02:58:51,38.9342,100.4517,74.01,20,3,2.04
195,Hirara,JP,2021-09-20 02:58:52,24.8,125.2833,85.86,84,40,5.75
196,Qaanaaq,GL,2021-09-20 02:58:52,77.484,-69.3632,10.53,81,18,7.85
197,Sechura,PE,2021-09-20 02:58:53,-5.5569,-80.8222,63.81,79,10,14.74
198,Port Elizabeth,ZA,2021-09-20 02:58:53,-33.918,25.5701,55.69,82,0,10.36
199,Sinop,TR,2021-09-20 02:58:54,41.7711,34.8709,60.37,78,78,5.53
200,Kasongo,CD,2021-09-20 02:58:54,-4.45,26.6667,67.17,93,76,3.2
201,Grindavik,IS,2021-09-20 02:58:55,63.8424,-22.4338,51.75,100,75,16.11
202,Tura,IN,2021-09-20 02:56:50,25.5198,90.2201,79.36,79,49,4.07
203,Sheltozero,RU,2021-09-20 02:58:55,61.3667,35.3667,40.51,72,71,11.9
204,Limoeiro Do Norte,BR,2021-09-20 02:54:54,-5.1456,-38.0981,75.81,69,57,7.4
205,Torbay,CA,2021-09-20 02:58:56,47.6666,-52.7314,54.88,97,90,32.21
206,Kununurra,AU,2021-09-20 02:58:57,-15.7667,128.7333,96.78,32,5,10.36
207,Weiser,US,2021-09-20 02:58:58,44.251,-116.9693,58.48,60,6,6.26
208,Lat Yao,TH,2021-09-20 02:58:58,15.751,99.7893,83.79,76,100,2.64
209,Sitka,US,2021-09-20 02:58:58,57.0531,-135.33,52.63,81,42,2.86
210,Port Augusta,AU,2021-09-20 02:55:10,-32.5,137.7667,62.74,27,28,20.2
211,Abbeyfeale,IE,2021-09-20 02:58:59,52.3814,-9.3025,56.59,98,78,5.01
