City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,San Cristobal,VE,89.78,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
210,Padang,ID,78.24,overcast clouds,-0.9492,100.3543,Mercure Padang
213,Chichimila,MX,89.04,broken clouds,20.6167,-88.2167,Casa Kiin
217,Riyadh,SA,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
218,Bodden Town,KY,89.01,scattered clouds,19.2833,-81.25,Will T Place
221,Faanui,PF,78.28,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
222,Sikasso,ML,78.91,overcast clouds,10.9167,-7.0,
223,Kaniama,CD,79.99,overcast clouds,-7.5667,24.1833,
226,La Mira,MX,85.1,overcast clouds,18.035,-102.3266,Cabaña San Francisco
232,Chaozhou,CN,76.86,light rain,23.6651,116.6379,Seven Corner View Homestay
236,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
239,Vallenar,CL,79.21,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
252,Sao Jose Da Coroa Grande,BR,75.99,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
254,Gizo,SB,81.57,light rain,-8.103,156.8419,Imagination Island
256,Nabire,ID,76.39,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
257,Mitsamiouli,KM,76.23,few clouds,-11.3847,43.2844,Foyer ADM
258,Gigmoto,PH,80.94,scattered clouds,13.7796,124.39,Cj's Travellers Inn
262,Thinadhoo,MV,82.35,overcast clouds,0.5333,72.9333,
264,Srivardhan,IN,76.66,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
266,Misratah,LY,76.46,clear sky,32.3754,15.0925,فندق الماسة
274,Auburn,US,82.58,clear sky,47.3073,-122.2284,La Quinta Inn & Suites by Wyndham Auburn
275,Itoman,JP,80.62,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
276,Mecca,SA,89.02,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
278,Manggar,ID,79.92,overcast clouds,-2.8833,108.2667,Guest Hotel
285,Veraval,IN,79.27,overcast clouds,20.9,70.3667,Lords Inn Somnath
292,Tanda,IN,78.76,overcast clouds,26.55,82.65,MUMTAZ GANJ TANDA
297,Lorengau,PG,81.75,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
298,Harnoli,PK,89.28,clear sky,32.2792,71.5539,Masjid Kosar Tabeeghi Markaz
304,Nishihara,JP,79.88,scattered clouds,26.1842,127.7558,Minshuku Agaihama
308,Miraflores,MX,75.02,overcast clouds,19.2167,-98.8083,Hotel Mansión
316,Andros Town,BS,84.16,overcast clouds,24.7,-77.7667,Hanks place
317,Sayan,PE,76.87,overcast clouds,-11.1361,-77.1933,Hotel Restaurant Vanessa
320,Griffin,US,79.14,clear sky,33.2468,-84.2641,Americas Best Value Inn & Suites Griffin
321,Makakilo City,US,82.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
324,Wagar,SD,89.24,overcast clouds,16.1525,36.2032,
326,Jacksonville,US,87.03,haze,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
330,North Ogden,US,86.0,clear sky,41.3072,-111.9602,Washington Estates Manufactured Home Community
332,Guarapari,BR,77.92,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
334,Parlakimidi,IN,77.31,overcast clouds,18.7667,84.0833,APEPDCL
335,Namatanai,PG,80.62,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
339,Fukue,JP,75.13,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
344,Mahibadhoo,MV,82.0,overcast clouds,3.7833,72.9667,Omadhoo Inn
345,Nileshwar,IN,77.76,broken clouds,12.25,75.1,Neeleshwar Hermitage
348,Tubuala,PA,81.34,overcast clouds,9.5167,-79.0333,Río Nabagana
353,Kahului,US,84.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
356,Simbahan,PH,82.6,overcast clouds,6.3032,120.5836,
357,Bauchi,NG,75.33,overcast clouds,10.5,10.0,
358,San Juan,AR,82.72,clear sky,-31.5375,-68.5364,Hotel Provincial
359,Del Rio,US,89.42,broken clouds,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
360,Mayo,US,78.12,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
365,Manor,IN,77.92,overcast clouds,19.75,72.9167,Vegas Hotel And Lodging.
366,Hambantota,LK,80.33,overcast clouds,6.1241,81.1185,Bungalow 63
368,Sur,OM,86.41,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
369,Bokoro,TD,84.96,overcast clouds,12.3807,17.0568,
374,Avera,US,80.71,broken clouds,33.194,-82.5271,
376,Shenandoah,US,84.0,clear sky,30.4013,-91.0009,Quality Suites Baton Rouge East - Denham Springs
382,Sechura,PE,75.16,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
384,Irece,BR,80.26,scattered clouds,-11.3042,-41.8558,RADAR INN HOTEL
389,Luxor,EG,78.71,clear sky,25.6989,32.6421,Iberotel Luxor
393,Sabang,ID,81.03,overcast clouds,5.8933,95.3214,Hotel Citra
395,Buala,SB,82.18,light rain,-8.145,159.5921,Maringe Lagoon Lodge
